"Source","Publication","Table","Variables","AllVariables"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Pass.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; vol,rates by level, age, sex eth, LLD","Achievement.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Time period","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Time identifier","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Geographic level","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Country code","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Country name","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Framework/standard","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Level","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Detailed.level","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Age youth adult","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Age group","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Stem","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Ssa1","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Learner.home.depriv","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Leavers","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Completers","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Achievers","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Retention.rate","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Pass.rate","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Learner Characteristics; volumes, rates std-fw, stem, ssat1, detailed level, age, IMD quintile","Achievement.rate","Time period, Time identifier, Geographic level, Country code, Country name, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Time period","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Time identifier","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Geographic level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Country code","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Country name","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Age youth adult","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Age group","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Ssa1","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Leavers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Completers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Achievers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Retention.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Pass.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Achievement.rate","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement Rates Providers - Volumes and Rates by Provider type, SSA T1, Level, Age","Provider type","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Ssa1, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate, Provider type"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Time period","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Time identifier","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Geographic level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Country code","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Country name","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Level","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Age youth adult","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Age group","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Sex","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Lldd","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Minority ethnic","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Ethnicity major","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Leavers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics","Completers","Time period, Time identifier, Geographic level, Country code, Country name, Level, Age youth adult, Age group, Sex, Lldd, Minority ethnic, Ethnicity major, Leavers, Completers"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics inc SEN","Time period","Time period, Time identifier, Geographic level, Country code, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics inc SEN","Time identifier","Time period, Time identifier, Geographic level, Country code, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
"FE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/apprenticeships-and-traineeships'>Apprenticeships and traineeships</a>","Achievement rate, learner characteristics inc SEN","Geographic level","Time period, Time identifier, Geographic level, Country code, Framework/standard, Level, Detailed.level, Age youth adult, Age group, Stem, Ssa1, Learner.home.depriv, Leavers, Completers, Achievers, Retention.rate, Pass.rate, Achievement.rate"
