"Organisation","Statistical Release","Description","Contact"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/further-education-skills-index'>Further education skills index</a>","The analysis in this report can be used to monitor the value of the Further Education system in England over time.  It shows the underlying trends for apprenticeships and classroom-based learning and how value-added per learner has changed alongside total value-added.","Karen Woolgar: FE.OUTCOMESDATA@education.gov.uk"
"DFE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/further-education-outcome-based-success-measures/data-guidance'>Further education: outcome-based success measures</a>","The FE outcome-based success measures present statistics on the employment, earnings and learning outcomes of FE learners. This publication covers learners that achieved apprenticeships, adult (19+) FE and Skills learners and completers of traineeships","ufs.contact@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/graduate-labour-markets'>Graduate Labour Market Statistics</a>","These statistics show labour market conditions for the following groups living in England:

Graduates
Postgraduates
Non-graduates

This release also sets out a breakdown of graduate outcomes by different subcategories, such as by age group and gender.","Stephen White PSPSTeam@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/graduate-outcomes-leo'>Graduate outcomes (LEO)</a>","​Employment and earnings outcomes of higher education graduates by subject studied and graduate characteristics.","Simon Childs: HE.LEO@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/higher-level-learners-in-england'>Higher Level Learners in England</a>","Overview of participation and achievements in higher level learning at Further Education Providers (FEPs) and Higher Education Providers (HEPs) for English-domiciled learners in England in the academic year ","Matthew Bollington he.statistics@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/key-stage-4-destination-measures'>Key stage 4 destination measures</a>","Percentage of pupils continuing to a sustained education, apprenticeship or employment destination in England in the year after completing key stage 4 study (after year 11) from state-funded mainstream schools.","Jan Hagenbart Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/leo-graduate-and-postgraduate-outcomes/2019-20)'>LEO Graduate and Postgraduate Outcomes</a>","Longitudinal Education Outcomes (LEO), Graduate and Postgraduate: Employment and earnings outcomes for those who graduated with a first degree (level 6), level 7 or level 8. ","Amy Wilson: he.leo@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/graduate-outcomes-leo-provider-level-data/data-guidance'>LEO Graduate outcomes provider level data</a>","Employment and earnings outcomes for graduates of English Higher Education Institutions (HEIs), one, three, and five years after graduation (YAG), 2014/15 to 2019/20 tax year.","Nargis Rahman he.leo@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/longer-term-destinations'>Longer term destinations</a>","Number of students that have continued in education, an apprenticeship or employment for at least 6 months, one, three and five years after finishing key stage 4","Jan Hagenbart Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/sfa-national-success-rates-tables'>National Achievement Rates</a>","National achievement rates tables (formerly success rates) for apprenticeships and education and training","andy.cooke@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/neet-statistics-annual-brief'>NEET age 16 to 24</a>","Estimates from the Labour Force Survey of young people not in education, employment or training (NEET) in England","Lucy Blyth post16.statistics@education.gov.uk"
"DfE","<a href='https://www.gov.uk/government/collections/statistics-neet'>NEET and participation</a>","Young people's participation in education, employment and training and those not in education, employment or training (NEET).  This collection contains participation figures of young people aged 16 to 18 and the quarterly release of NEET (not in education, employment or training) figures.","Sally Marshall post16.statistics@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/participation-in-education-and-training-and-employment'>Participation in education, training and employment age 16 to 18</a>","official measures of participation and NEET (not in education, employment or training) for 16 to 18 year olds.

-16-17 year olds are required to remain in education and training in England following raising the participation age legislation in 2013.
-18 year olds in this release are in the first year post compulsory education","Sally Marshall post16.statistics@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/participation-in-education-training-and-neet-age-16-to-17-by-local-authority'>Participation in education, training and NEET age 16 to 17 by local authority</a>","Data for England showing the proportion of 16 and 17 year-olds participating in education and training and an estimate of those not in education, employment or training (NEET) by local authority (LA)","Anneka Albon post16.statistics@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/participation-measures-in-higher-education'>Participation measures in higher education</a>","proportion of the population aiming to complete a qualification at HE level. Time series in this publication will focus on participation in HE by age 25. This will be referred to as the CHEP-25 rate. Using age 25 gives a good balance between timeliness while still giving students time to enter HE","Matthew Bollington he.statistics@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/progression-to-higher-education-or-training'>Progression to higher education or training</a>","Percentage of level 3 pupils (e.g. those that studied A levels, tech levels and applied general qualifications) continuing to a sustained education or training destination at level 4 or higher (such as degrees, higher apprenticeships and higher national diplomas) in the year after completing 16 to 18 study.","Robin Davis Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/progression-to-higher-education-or-training'>Progression to higher education or training, Academic year 2020/21 – Explore education statistics – GOV.UK (explore-education-statistics.service.gov.uk)</a>","Percentage of level 3 pupils (e.g. those that studied A levels, tech levels and applied general qualifications) continuing to a sustained education or training destination at level 4 or higher (such as degrees, higher apprenticeships and higher national diplomas) in the year after completing 16 to 18 study.","Robin Davis Destination.MEASURES@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/skills-bootcamps-outcomes'>Skills Bootcamps outcomes</a>","Publication of national level summary estimates of the number of learners completing Skills Bootcamps and their employment outcomes reported to the Department by Skills Bootcamp providers","Glenn Goodman: skills.bootcamps@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/skills-bootcamps-starts'>Skills Bootcamps starts</a>","Data on the number of Skills Bootcamps starts in England as reported to the Department by Skills Bootcamps providers. ","Simon.Groonell@education.gov.uk"
"DfE","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/widening-participation-in-higher-education'>Widening participation in higher education</a>","Annual statistics on young peoples' participation in higher education by student characteristics, including eligibility for free school meals, gender, ethnicity, special educational need status, first language and region.","John Simes: HE.statistics@education.gov.uk"
"DfE and DWP","<a href='https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/835749/Further_Education_for_Benefit_Claimants.pdf'>Further education for benefit claimants in England</a>","This publication uses the link between education and benefits data to produce estimates for volumes of 
government funded further education where individuals were claiming benefits at the start of their learning. ","Karen.Woolgar@education.gov.uk and Aniel.Anand@dwp.gsi.gov.uk"
"Gov.Uk","<a href='https://www.gov.uk/education/further-and-higher-education-skills-and-vocational-training'>https://www.gov.uk/education/further-and-higher-education-skills-and-vocational-training</a>","New, latest releases, policy, services etc",NA
"HESA","<a href='https://www.hesa.ac.uk/news/18-04-2023/ah2304-degree-attainment-socioeconomic-background'>Degree attainment by socioeconomic background: UK</a>"," UK-wide area-based measure of deprivation. Alongside having the potential to enhance our official statistics, one of the primary benefits of such a variable is that it may enable comparisons to be made across the four nations, which is not possible with existing area-based measures such as the Indices of Deprivation","Tej Nathwani,
Alex Lastoria-Butler,
Stephanie McLean: official.statistics@hesa.ac.uk"
"HESA","<a href='https://www.hesa.ac.uk/news/16-06-2022/sb263-higher-education-graduate-outcomes-statistics'>Graduate Outcomes: Summary Statistics </a>","Graduate Outcomes survey data and covers UK higher education providers (HEPs) and further education colleges (FECs) in England, Wales and Northern Ireland. Data is collected approximately 15 months after HE course completion","Luke Perrott: Official.statistics@hesa.ac.uk"
"HESA","<a href='https://www.hesa.ac.uk/data-and-analysis/students'>Higher Education Student Statistics: UK</a>","Annual first release of HESA student data. It covers data about higher education students and qualifiers from the following types of providers within the UK:

Higher education (HE) providers in England registered with the Office for Students (OfS) in the Approved (fee cap) or Approved categories;
Publicly funded HE providers in Wales, Scotland and Northern Ireland; and
Further education (FE) colleges in Wales.","Rebecca Mantle: Official.statistics@hesa.ac.uk"
"ONS","<a href='https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/bulletins/businessdemography/2021'>Business demography</a>","Change in the number of UK businesses broken down by district and industry","Becky Shaw: idbrdas@ons.gov.uk"
"ONS","<a href='https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/bulletins/businessdemographyquarterlyexperimentalstatisticsuk/previousReleases'>Business demography, quarterly experimental statistics, UK Statistical bulletins</a>","Experimental quarterly statistics on business births and deaths from the Inter-Departmental Business Register (IDBR) with high-level breakdowns by industry and region.","Mark Williams: idbrdas@ons.gov.uk"
"ONS","<a href='https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/bulletins/businessregisterandemploymentsurveybresprovisionalresults/previousReleases'>Employees in the UK </a>","Number of employees in the UK, full-time and part-time, by sector, industry, country and English region, from the Business Register and Employment Survey (BRES)","Neil Hedges: bres@ons.gov.uk"
"ONS","<a href='https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/methodologies/multiplebusinessregistrationsatasinglepostcode2020'>Multiple business registrations at a single postcode: 2020</a>","Business demography explainer covering additional information on the impact of multiple registrations at a single postcode.","Karen Watkins: idbrdas@ons.gov.uk"
"ONS","<a href='https://www.ons.gov.uk/releases/qualificationlevelsbycountryofbirth'>Qualification levels by country of birth</a>","To analyse variations in qualification levels held by country of birth to establish patterns across UK countries and migrant contribution.","Aidan Tolland, Rebecca Jones, Hamish Anderson, Matt Rood: census.customerservices@ons.gov.uk"
"ONS","<a href='https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/bulletins/ukbusinessactivitysizeandlocation/previousReleases'>UK business; activity, size and location</a>","UK businesses broken down by legal status, industry, region, employment and turnover size bands.","Becky Shaw: idbrdas@ons.gov.uk"
